index,x,y,z,nx,ny,nz,theta
0,0.360000,0.000000,0.160000,0.980581,0.000000,0.196116,0.000000
1,0.359689,0.004712,0.160627,0.977539,0.077176,0.196116,0.078786
2,0.359009,0.009376,0.161254,0.968432,0.153874,0.196116,0.157572
3,0.357966,0.013962,0.161881,0.953318,0.229616,0.196116,0.236358
4,0.356568,0.018442,0.162508,0.932289,0.303934,0.196116,0.315144
5,0.354826,0.022789,0.163135,0.905476,0.376367,0.196116,0.393930
6,0.352750,0.026976,0.163762,0.873045,0.446464,0.196116,0.472716
7,0.350357,0.030978,0.164389,0.835198,0.513792,0.196116,0.551502
8,0.347661,0.034771,0.165016,0.792170,0.577932,0.196116,0.630288
9,0.344681,0.038333,0.165643,0.744226,0.638487,0.196116,0.709074
10,0.341437,0.041642,0.166270,0.691666,0.695080,0.196116,0.787860
11,0.337950,0.044678,0.166897,0.634814,0.747361,0.196116,0.866646
12,0.334243,0.047425,0.167524,0.574025,0.795006,0.196116,0.945432
13,0.330339,0.049866,0.168150,0.509673,0.837718,0.196116,1.024218
14,0.326263,0.051987,0.168777,0.442160,0.875233,0.196116,1.103004
15,0.322043,0.053777,0.169404,0.371904,0.907318,0.196116,1.181790
16,0.317704,0.055225,0.170031,0.299340,0.933774,0.196116,1.260576
17,0.313273,0.056325,0.170658,0.224919,0.954437,0.196116,1.339362
18,0.308780,0.057072,0.171285,0.149103,0.969178,0.196116,1.418148
19,0.304252,0.057460,0.171912,0.072362,0.977907,0.196116,1.496934
20,0.299717,0.057491,0.172539,-0.004828,0.980569,0.196116,1.575720
21,0.295203,0.057166,0.173166,-0.081989,0.977147,0.196116,1.654506
22,0.290739,0.056487,0.173793,-0.158640,0.967663,0.196116,1.733292
23,0.286352,0.055461,0.174420,-0.234308,0.952176,0.196116,1.812079
24,0.282069,0.054096,0.175047,-0.308521,0.930781,0.196116,1.890865
25,0.277916,0.052402,0.175674,-0.380821,0.903612,0.196116,1.969651
26,0.273918,0.050390,0.176301,-0.450758,0.870836,0.196116,2.048437
27,0.270099,0.048074,0.176928,-0.517899,0.832658,0.196116,2.127223
28,0.266482,0.045471,0.177555,-0.581826,0.789314,0.196116,2.206009
29,0.263090,0.042597,0.178182,-0.642144,0.741073,0.196116,2.284795
30,0.259941,0.039472,0.178809,-0.698478,0.688235,0.196116,2.363581
31,0.257055,0.036116,0.179436,-0.750478,0.631127,0.196116,2.442367
32,0.254447,0.032551,0.180063,-0.797823,0.570103,0.196116,2.521153
33,0.252134,0.028800,0.180690,-0.840218,0.505542,0.196116,2.599939
34,0.250128,0.024887,0.181317,-0.877400,0.437845,0.196116,2.678725
35,0.248440,0.020838,0.181944,-0.909138,0.367431,0.196116,2.757511
36,0.247080,0.016678,0.182571,-0.935237,0.294738,0.196116,2.836297
37,0.246054,0.012433,0.183197,-0.955533,0.220217,0.196116,2.915083
38,0.245366,0.008130,0.183824,-0.969901,0.144329,0.196116,2.993869
39,0.245021,0.003796,0.184451,-0.978252,0.067546,0.196116,3.072655
40,0.245018,-0.000541,0.185078,-0.980533,-0.009657,0.196116,3.151441
41,0.245356,-0.004856,0.185705,-0.976731,-0.086799,0.196116,3.230227
42,0.246032,-0.009121,0.186332,-0.966870,-0.163403,0.196116,3.309013
43,0.247039,-0.013309,0.186959,-0.951010,-0.238993,0.196116,3.387799
44,0.248369,-0.017396,0.187586,-0.929250,-0.313101,0.196116,3.466585
45,0.250014,-0.021357,0.188213,-0.901725,-0.385266,0.196116,3.545371
46,0.251961,-0.025166,0.188840,-0.868606,-0.455041,0.196116,3.624157
47,0.254197,-0.028803,0.189467,-0.830098,-0.521992,0.196116,3.702943
48,0.256706,-0.032243,0.190094,-0.786440,-0.585706,0.196116,3.781729
49,0.259473,-0.035468,0.190721,-0.737902,-0.645785,0.196116,3.860515
50,0.262477,-0.038458,0.191348,-0.684787,-0.701858,0.196116,3.939301
51,0.265701,-0.041195,0.191975,-0.627424,-0.753577,0.196116,4.018087
52,0.269122,-0.043665,0.192602,-0.566167,-0.800620,0.196116,4.096873
53,0.272718,-0.045852,0.193229,-0.501399,-0.842697,0.196116,4.175659
54,0.276467,-0.047744,0.193856,-0.433519,-0.879545,0.196116,4.254445
55,0.280344,-0.049332,0.194483,-0.362950,-0.910937,0.196116,4.333231
56,0.284325,-0.050606,0.195110,-0.290130,-0.936677,0.196116,4.412017
57,0.288384,-0.051560,0.195737,-0.215509,-0.956606,0.196116,4.490803
58,0.292496,-0.052191,0.196364,-0.139551,-0.970600,0.196116,4.569589
59,0.296635,-0.052494,0.196991,-0.062728,-0.978572,0.196116,4.648375
60,0.300775,-0.052471,0.197618,0.014485,-0.980474,0.196116,4.727161
61,0.304891,-0.052122,0.198245,0.091608,-0.976292,0.196116,4.805947
62,0.308956,-0.051452,0.198871,0.168162,-0.966054,0.196116,4.884733
63,0.312947,-0.050466,0.199498,0.243673,-0.949822,0.196116,4.963519
64,0.316838,-0.049172,0.200125,0.317673,-0.927697,0.196116,5.042305
65,0.320606,-0.047579,0.200752,0.389701,-0.899817,0.196116,5.121091
66,0.324228,-0.045699,0.201379,0.459312,-0.866355,0.196116,5.199877
