index,time_from_start,joint1,joint2,joint3,joint4,joint5,joint6,velocity1,velocity2,velocity3,velocity4,velocity5,velocity6,acceleration1,acceleration2,acceleration3,acceleration4,acceleration5,acceleration6
0,0.000000,0.00000291,0.10271060,-0.49172648,0.00001955,0.38901588,-0.00001521,0.08093006,-0.01837104,0.00664291,-0.00000056,0.01172813,0.08093062,-0.00084469,-0.01525067,0.02098472,0.00000038,-0.00573405,-0.00084468
1,0.161861,0.01310235,0.09973704,-0.49065125,0.00001946,0.39091421,0.01308432,0.08079334,-0.02083954,0.01003952,-0.00000050,0.01080001,0.08079390,-0.00150627,-0.02307229,0.03155525,0.00000047,-0.00848296,-0.00150654
2,0.323175,0.02611327,0.09597579,-0.48848196,0.00001939,0.39250617,0.02609533,0.08044328,-0.02582742,0.01684077,-0.00000040,0.00898665,0.08044374,-0.00263746,-0.03131173,0.04229091,0.00000047,-0.01097927,-0.00263812
3,0.483634,0.03898680,0.09142648,-0.48523235,0.00001933,0.39380587,0.03896892,0.07994468,-0.03091480,0.02364758,-0.00000034,0.00726718,0.07994502,-0.00357398,-0.03216886,0.04259364,0.00000038,-0.01042478,-0.00357445
4,0.642951,0.05167766,0.08608998,-0.48092003,0.00001928,0.39483004,0.05165983,0.07930040,-0.03611425,0.03046119,-0.00000028,0.00565306,0.07930072,-0.00454568,-0.03327461,0.04310580,0.00000048,-0.00983100,-0.00454606
5,0.800830,0.06414060,0.07997117,-0.47557017,0.00001924,0.39559900,0.06412282,0.07850281,-0.04146938,0.03732059,-0.00000019,0.00414882,0.07850303,-0.00559321,-0.03465072,0.04382387,0.00000049,-0.00917325,-0.00559391
6,0.956953,0.07632772,0.07306850,-0.46920128,0.00001922,0.39613278,0.07630996,0.07754412,-0.04699466,0.04422199,-0.00000013,0.00277264,0.07754422,-0.00671971,-0.03628440,0.04469923,0.00000041,-0.00841504,-0.00672022
7,1.110993,0.08819191,0.06539517,-0.46185415,0.00001920,0.39645897,0.08817416,0.07641860,-0.05272345,0.05118463,-0.00000007,0.00153879,0.07641867,-0.00793803,-0.03833837,0.04591308,0.00000042,-0.00757450,-0.00793823
8,1.262608,0.09968548,0.05695329,-0.45355642,0.00001920,0.39660312,0.09966774,0.07511782,-0.05871299,0.05825557,0.00000000,0.00045745,0.07511786,-0.00930344,-0.04087303,0.04748135,0.00000022,-0.00660821,-0.00930377
9,1.411439,0.11076073,0.04775511,-0.44435152,0.00001920,0.39659641,0.11074299,0.07362342,-0.06500358,0.06545019,0.00000000,-0.00044662,0.07362339,-0.01550998,-0.03944746,0.04485899,0.00000012,-0.00541176,-0.01551020
10,1.557067,0.12136455,0.03781241,-0.43428403,0.00001920,0.39647161,0.12134680,0.07055077,-0.07032864,0.07146470,0.00000003,-0.00113609,0.07055074,-0.02855590,-0.02904370,0.03277635,0.00000023,-0.00373265,-0.02855601
11,1.704603,0.13144369,0.02713727,-0.42340063,0.00001921,0.39626335,0.13142594,0.06525186,-0.07351815,0.07505904,0.00000007,-0.00154089,0.06525179,-0.03737457,-0.01820018,0.02000923,0.00000021,-0.00180894,-0.03737478
12,1.857217,0.14094991,0.01574592,-0.41175504,0.00001922,0.39600911,0.14093214,0.05933279,-0.07579143,0.07747047,0.00000010,-0.00167904,0.05933269,-0.03766395,-0.01472454,0.01476989,0.00000009,-0.00004535,-0.03766394
13,2.014417,0.14982582,0.00365602,-0.39939919,0.00001924,0.39574316,0.14980804,0.05358304,-0.07808002,0.07963496,0.00000009,-0.00155494,0.05358297,-0.03574580,-0.01438077,0.01278826,-0.00000021,0.00159250,-0.03574569
14,2.175705,0.15801543,-0.00912158,-0.38639231,0.00001925,0.39551388,0.15799764,0.04794820,-0.08037153,0.08154337,0.00000003,-0.00117185,0.04794814,-0.03445788,-0.01400701,0.01096892,-0.00000029,0.00303809,-0.03445777
15,2.340552,0.16546339,-0.02255592,-0.37280507,0.00001925,0.39536098,0.16544559,0.04234513,-0.08264819,0.08321231,0.00000000,-0.00056412,0.04234510,-0.03397062,-0.01313195,0.00879693,-0.00000009,0.00433502,-0.03397035
16,2.508525,0.17210873,-0.03662854,-0.35869760,0.00001925,0.39532613,0.17209093,0.03664210,-0.08474210,0.08447117,0.00000000,0.00027093,0.03664213,-0.03399073,-0.01142065,0.00584095,-0.00000017,0.00557970,-0.03399047
17,2.679897,0.17789771,-0.05131274,-0.34414019,0.00001925,0.39545292,0.17787992,0.03081054,-0.08652373,0.08519441,-0.00000006,0.00132932,0.03081060,-0.03403568,-0.00977099,0.00305388,-0.00000033,0.00671703,-0.03403536
18,2.854588,0.18277112,-0.06657121,-0.32921496,0.00001923,0.39578616,0.18275334,0.02486361,-0.08812348,0.08552800,-0.00000011,0.00259545,0.02486375,-0.03399138,-0.00871118,0.00097921,-0.00000031,0.00773189,-0.03399099
